1,1.181,0.081,1.184,-3.675
2,1.174,-0.044,1.177,-3.86
3,1.182,0.126,1.185,-3.624
4,1.18,0.001,1.182,-3.742
5,1.178,1.304,1.185,-2.235
6,1.178,0.062,1.18,-3.681
7,1.18,0,1.182,-3.743
8,1.179,1.322,1.187,-2.221
9,1.178,1.309,1.185,-2.23
10,1.177,1.32,1.184,-2.218
11,1.173,-0.097,1.177,-3.846
12,1.175,-0.038,1.177,-3.781
13,1.175,-0.057,1.177,-3.799
14,1.169,-0.21,1.171,-3.952
15,1.162,-1.159,1.164,-4.897
16,1.178,1.262,1.186,-2.281
17,1.177,1.146,1.184,-2.395
18,1.169,0.916,1.176,-2.618
19,1.148,0.32,1.155,-3.206
20,1.177,1.32,1.184,-2.218
21,1.188,3.334,1.2,0
22,1.18,0,1.183,-3.743
23,1.2,0.335,1.2,-3.607
